id,canonical_name,category_id,keywords,primary_unit,unit_weight_grams,density_g_per_ml,shelf_life_days_pantry,shelf_life_days_fridge,shelf_life_days_freezer,created_at,updated_at,subcategory_id,nutrition_id
10002,gingembre,10,"{épice,gingembre,ginger}",g,15,0.88,7,21,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,150,
10003,moutarde,10,"{épice,""graine de moutarde"",moutarde,""mustard seed""}",g,0.002,0.50,1095,1095,1095,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,152,
10004,muscade,10,"{épice,muscade,""noix de muscade"",nutmeg}",g,5,0.40,1095,1095,1095,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,154,
10005,poivre,10,"{épice,pepper,poivre}",g,0.005,0.50,1095,1095,1095,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,151,
10006,safran,10,"{safran,saffron,épice}",u,0.007,0.30,730,730,730,2025-10-01 17:16:06.825577+00,2025-10-07 15:12:47.348581+00,154,
10007,vanille,10,"{épice,vanilla,vanille}",u,2,0.35,1095,1095,1095,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,154,
11001,amande,13,"{almond,amande,""fruit sec""}",g,1.2,0.64,365,365,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,161,
11002,cacahuète,11,"{cacahuète,arachide,peanut}",g,100,,365,30,730,2025-10-04 17:22:25.969139+00,2025-10-07 15:12:47.348581+00,33,
11003,caille,4,"{caille,quail,volaille,viande}",g,1.0,1.04,0,2,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,135,
11004,cajou,13,"{cajou,cashew,noix}",g,100,,365,30,730,2025-10-04 17:22:25.969139+00,2025-10-07 15:12:47.348581+00,161,
11005,noix,13,"{""fruit sec"",noix,walnut}",g,5,0.65,180,365,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,161,
11006,noix de pécan,13,"{pécan,pecan,noix}",g,100,,365,30,730,2025-10-04 17:22:25.969139+00,2025-10-07 15:12:47.348581+00,161,
11007,olive,11,"{fruit,olive}",g,4,0.92,7,21,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,33,
11009,tournesol,11,"{graine,sunflower,tournesol}",g,0.05,0.60,730,730,730,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,33,
14001,miel,14,"{honey,miel}",g,,1.50,1095,1095,99999,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,165,
14002,sirop d'érable,14,"{""maple syrup"",""sirop d'érable""}",cL,,1.32,1095,365,99999,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,166,
1009,abricot,1,"{abricot,apricot,fruit}",u,35,0.86,2,5,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,2,
1038,mirabelle,1,"{mirabelle,plum,prune,fruit}",u,15.0,0.87,3,7,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,2,
8009,dinde,8,"{dinde,turkey,volaille,viande}",g,1.0,1.04,0,2,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,26,
8010,lapin,8,"{lapin,rabbit,viande}",g,1.0,1.05,0,2,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,144,
8012,pintade,2,"{pintade,""guinea fowl"",volaille,viande}",g,1.0,1.04,0,2,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,132,
8013,sanglier,8,"{sanglier,""wild boar"",gibier,viande}",g,1.0,1.06,0,2,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,144,
8014,thé,2,"{""feuilles de thé"",tea,thé}",g,0.02,0.40,730,730,730,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,132,
9001,anchois,2,"{anchois,anchovy,poisson}",g,1.0,1.05,0,1,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,132,
14003,sucre de betterave,14,"{""sucre de betterave"",betterave,sucre,sugar}",g,,0.85,99999,99999,99999,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,164,
14004,sucre de canne,14,"{""sucre de canne"",canne,sucre,sugar}",g,,0.85,99999,99999,99999,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,164,
